club_name,transfer_movement,fee_cleaned,league_name,year,season,country
Manchester United,in,32.4,Premier League,2013,2013/2014,England
Manchester City,in,40.0,Premier League,2013,2013/2014,England
Manchester City,in,26.0,Premier League,2013,2013/2014,England
Manchester City,in,25.0,Premier League,2013,2013/2014,England
Manchester City,in,20.0,Premier League,2013,2013/2014,England
Manchester City,in,4.5,Premier League,2013,2013/2014,England
Chelsea FC,in,35.5,Premier League,2013,2013/2014,England
Chelsea FC,in,22.0,Premier League,2013,2013/2014,England
Chelsea FC,in,9.4,Premier League,2013,2013/2014,England
Chelsea FC,in,3.0,Premier League,2013,2013/2014,England
Chelsea FC,in,2.45,Premier League,2013,2013/2014,England
Chelsea FC,in,1.9,Premier League,2013,2013/2014,England
Chelsea FC,in,0.0,Premier League,2013,2013/2014,England
Chelsea FC,in,0.0,Premier League,2013,2013/2014,England
Arsenal FC,in,47.0,Premier League,2013,2013/2014,England
Arsenal FC,in,1.0,Premier League,2013,2013/2014,England
Arsenal FC,in,0.5,Premier League,2013,2013/2014,England
Arsenal FC,in,0.0,Premier League,2013,2013/2014,England
Arsenal FC,in,0.0,Premier League,2013,2013/2014,England
Tottenham Hotspur,in,30.0,Premier League,2013,2013/2014,England
Tottenham Hotspur,in,30.0,Premier League,2013,2013/2014,England
Tottenham Hotspur,in,19.75,Premier League,2013,2013/2014,England
Tottenham Hotspur,in,14.15,Premier League,2013,2013/2014,England
Tottenham Hotspur,in,11.0,Premier League,2013,2013/2014,England
Tottenham Hotspur,in,9.5,Premier League,2013,2013/2014,England
Tottenham Hotspur,in,8.15,Premier League,2013,2013/2014,England
Everton FC,in,15.3,Premier League,2013,2013/2014,England
Everton FC,in,7.0,Premier League,2013,2013/2014,England
Everton FC,in,4.0,Premier League,2013,2013/2014,England
Everton FC,in,3.5,Premier League,2013,2013/2014,England
Everton FC,in,0.0,Premier League,2013,2013/2014,England
Liverpool FC,in,19.0,Premier League,2013,2013/2014,England
Liverpool FC,in,10.8,Premier League,2013,2013/2014,England
Liverpool FC,in,10.6,Premier League,2013,2013/2014,England
Liverpool FC,in,8.0,Premier League,2013,2013/2014,England
Liverpool FC,in,7.5,Premier League,2013,2013/2014,England
Liverpool FC,in,1.2,Premier League,2013,2013/2014,England
Liverpool FC,in,1.0,Premier League,2013,2013/2014,England
Liverpool FC,in,0.0,Premier League,2013,2013/2014,England
West Bromwich Albion,in,7.0,Premier League,2013,2013/2014,England
West Bromwich Albion,in,5.9,Premier League,2013,2013/2014,England
West Bromwich Albion,in,2.3,Premier League,2013,2013/2014,England
West Bromwich Albion,in,0.0,Premier League,2013,2013/2014,England
West Bromwich Albion,in,0.0,Premier League,2013,2013/2014,England
Swansea City,in,16.0,Premier League,2013,2013/2014,England
Swansea City,in,5.8,Premier League,2013,2013/2014,England
Swansea City,in,2.9,Premier League,2013,2013/2014,England
Swansea City,in,1.2,Premier League,2013,2013/2014,England
Swansea City,in,0.5,Premier League,2013,2013/2014,England
Swansea City,in,0.0,Premier League,2013,2013/2014,England
Swansea City,in,0.0,Premier League,2013,2013/2014,England
