club_name,transfer_movement,fee_cleaned,league_name,year,season,country
Bayern Munich,in,37.0,1 Bundesliga,2013,2013/2014,Germany
Bayern Munich,in,25.0,1 Bundesliga,2013,2013/2014,Germany
Bayern Munich,in,0.0,1 Bundesliga,2013,2013/2014,Germany
Borussia Dortmund,in,27.5,1 Bundesliga,2013,2013/2014,Germany
Borussia Dortmund,in,13.0,1 Bundesliga,2013,2013/2014,Germany
Borussia Dortmund,in,9.9,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,12.5,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,5.0,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,3.0,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,1.5,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,0.5,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,0.5,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,0.4,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,0.0,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,0.0,1 Bundesliga,2013,2013/2014,Germany
Bayer 04 Leverkusen,in,0.0,1 Bundesliga,2013,2013/2014,Germany
FC Schalke 04,in,10.0,1 Bundesliga,2013,2013/2014,Germany
FC Schalke 04,in,8.0,1 Bundesliga,2013,2013/2014,Germany
FC Schalke 04,in,3.25,1 Bundesliga,2013,2013/2014,Germany
FC Schalke 04,in,2.8,1 Bundesliga,2013,2013/2014,Germany
FC Schalke 04,in,1.0,1 Bundesliga,2013,2013/2014,Germany
FC Schalke 04,in,0.5,1 Bundesliga,2013,2013/2014,Germany
SC Freiburg,in,4.0,1 Bundesliga,2013,2013/2014,Germany
SC Freiburg,in,1.1,1 Bundesliga,2013,2013/2014,Germany
SC Freiburg,in,0.4,1 Bundesliga,2013,2013/2014,Germany
SC Freiburg,in,0.3,1 Bundesliga,2013,2013/2014,Germany
SC Freiburg,in,0.2,1 Bundesliga,2013,2013/2014,Germany
SC Freiburg,in,0.2,1 Bundesliga,2013,2013/2014,Germany
SC Freiburg,in,0.0,1 Bundesliga,2013,2013/2014,Germany
SC Freiburg,in,0.0,1 Bundesliga,2013,2013/2014,Germany
SC Freiburg,in,0.03,1 Bundesliga,2013,2013/2014,Germany
Eintracht Frankfurt,in,3.2,1 Bundesliga,2013,2013/2014,Germany
