club_name,transfer_movement,fee_cleaned,league_name,year,season,country
Paris Saint-Germain,in,64.5,Ligue 1,2013,2013/2014,France
Paris Saint-Germain,in,31.4,Ligue 1,2013,2013/2014,France
Paris Saint-Germain,in,15.0,Ligue 1,2013,2013/2014,France
Olympique Marseille,in,12.0,Ligue 1,2013,2013/2014,France
Olympique Marseille,in,8.7,Ligue 1,2013,2013/2014,France
Olympique Marseille,in,7.5,Ligue 1,2013,2013/2014,France
Olympique Marseille,in,4.0,Ligue 1,2013,2013/2014,France
Olympique Marseille,in,4.0,Ligue 1,2013,2013/2014,France
Olympique Marseille,in,2.5,Ligue 1,2013,2013/2014,France
Olympique Lyon,in,2.0,Ligue 1,2013,2013/2014,France
Olympique Lyon,in,1.0,Ligue 1,2013,2013/2014,France
Olympique Lyon,in,1.0,Ligue 1,2013,2013/2014,France
OGC Nice,in,0.0,Ligue 1,2013,2013/2014,France
OGC Nice,in,0.0,Ligue 1,2013,2013/2014,France
AS Saint-Étienne,in,5.0,Ligue 1,2013,2013/2014,France
AS Saint-Étienne,in,5.0,Ligue 1,2013,2013/2014,France
AS Saint-Étienne,in,4.5,Ligue 1,2013,2013/2014,France
AS Saint-Étienne,in,1.0,Ligue 1,2013,2013/2014,France
AS Saint-Étienne,in,0.1,Ligue 1,2013,2013/2014,France
AS Saint-Étienne,in,0.0,Ligue 1,2013,2013/2014,France
LOSC Lille,in,2.5,Ligue 1,2013,2013/2014,France
LOSC Lille,in,0.45,Ligue 1,2013,2013/2014,France
LOSC Lille,in,0.0,Ligue 1,2013,2013/2014,France
LOSC Lille,in,0.0,Ligue 1,2013,2013/2014,France
FC Girondins Bordeaux,in,3.5,Ligue 1,2013,2013/2014,France
FC Girondins Bordeaux,in,0.0,Ligue 1,2013,2013/2014,France
FC Lorient,in,2.5,Ligue 1,2013,2013/2014,France
FC Lorient,in,0.5,Ligue 1,2013,2013/2014,France
FC Lorient,in,0.0,Ligue 1,2013,2013/2014,France
FC Lorient,in,0.0,Ligue 1,2013,2013/2014,France
Montpellier HSC,in,1.0,Ligue 1,2013,2013/2014,France
Montpellier HSC,in,0.8,Ligue 1,2013,2013/2014,France
Montpellier HSC,in,0.7,Ligue 1,2013,2013/2014,France
Montpellier HSC,in,0.0,Ligue 1,2013,2013/2014,France
Montpellier HSC,in,0.0,Ligue 1,2013,2013/2014,France
FC Toulouse,in,2.1,Ligue 1,2013,2013/2014,France
FC Toulouse,in,2.0,Ligue 1,2013,2013/2014,France
FC Toulouse,in,2.0,Ligue 1,2013,2013/2014,France
FC Toulouse,in,1.5,Ligue 1,2013,2013/2014,France
FC Toulouse,in,1.0,Ligue 1,2013,2013/2014,France
FC Toulouse,in,0.0,Ligue 1,2013,2013/2014,France
Valenciennes FC,in,0.7,Ligue 1,2013,2013/2014,France
Valenciennes FC,in,0.5,Ligue 1,2013,2013/2014,France
Valenciennes FC,in,0.0,Ligue 1,2013,2013/2014,France
Valenciennes FC,in,0.0,Ligue 1,2013,2013/2014,France
SC Bastia,in,1.0,Ligue 1,2013,2013/2014,France
SC Bastia,in,0.8,Ligue 1,2013,2013/2014,France
SC Bastia,in,0.0,Ligue 1,2013,2013/2014,France
SC Bastia,in,0.0,Ligue 1,2013,2013/2014,France
SC Bastia,in,0.0,Ligue 1,2013,2013/2014,France
SC Bastia,in,0.0,Ligue 1,2013,2013/2014,France
SC Bastia,in,0.0,Ligue 1,2013,2013/2014,France
SC Bastia,in,0.0,Ligue 1,2013,2013/2014,France
SC Bastia,in,0.0,Ligue 1,2013,2013/2014,France
Stade Rennais FC,in,3.0,Ligue 1,2013,2013/2014,France
Stade Rennais FC,in,2.0,Ligue 1,2013,2013/2014,France
Stade Rennais FC,in,1.0,Ligue 1,2013,2013/2014,France
Stade Rennais FC,in,0.5,Ligue 1,2013,2013/2014,France
Stade Rennais FC,in,0.25,Ligue 1,2013,2013/2014,France
Stade Rennais FC,in,0.0,Ligue 1,2013,2013/2014,France
Stade Rennais FC,in,0.0,Ligue 1,2013,2013/2014,France
Stade Reims,in,1.5,Ligue 1,2013,2013/2014,France
Stade Reims,in,1.0,Ligue 1,2013,2013/2014,France
Stade Reims,in,0.6,Ligue 1,2013,2013/2014,France
Stade Reims,in,0.0,Ligue 1,2013,2013/2014,France
Stade Reims,in,0.0,Ligue 1,2013,2013/2014,France
Stade Reims,in,0.03,Ligue 1,2013,2013/2014,France
FC Sochaux-Montbéliard,in,1.75,Ligue 1,2013,2013/2014,France
FC Sochaux-Montbéliard,in,0.4,Ligue 1,2013,2013/2014,France
FC Évian Thonon Gaillard,in,1.5,Ligue 1,2013,2013/2014,France
