club_name,transfer_movement,fee_cleaned,league_name,year,season,country
Juventus FC,in,15.0,Serie A,2013,2013/2014,Italy
Juventus FC,in,9.0,Serie A,2013,2013/2014,Italy
Juventus FC,in,4.8,Serie A,2013,2013/2014,Italy
Juventus FC,in,4.5,Serie A,2013,2013/2014,Italy
Juventus FC,in,3.5,Serie A,2013,2013/2014,Italy
Juventus FC,in,2.75,Serie A,2013,2013/2014,Italy
Juventus FC,in,1.78,Serie A,2013,2013/2014,Italy
Juventus FC,in,1.5,Serie A,2013,2013/2014,Italy
Juventus FC,in,0.76,Serie A,2013,2013/2014,Italy
Juventus FC,in,0.76,Serie A,2013,2013/2014,Italy
Juventus FC,in,0.7,Serie A,2013,2013/2014,Italy
Juventus FC,in,0.35,Serie A,2013,2013/2014,Italy
Juventus FC,in,0.1,Serie A,2013,2013/2014,Italy
Juventus FC,in,0.0,Serie A,2013,2013/2014,Italy
US Sassuolo,in,10.0,Serie A,2013,2013/2014,Italy
US Sassuolo,in,5.0,Serie A,2013,2013/2014,Italy
US Sassuolo,in,4.5,Serie A,2013,2013/2014,Italy
US Sassuolo,in,4.0,Serie A,2013,2013/2014,Italy
US Sassuolo,in,3.2,Serie A,2013,2013/2014,Italy
US Sassuolo,in,1.3,Serie A,2013,2013/2014,Italy
US Sassuolo,in,0.55,Serie A,2013,2013/2014,Italy
US Sassuolo,in,0.5,Serie A,2013,2013/2014,Italy
US Sassuolo,in,0.5,Serie A,2013,2013/2014,Italy
US Sassuolo,in,0.0,Serie A,2013,2013/2014,Italy
SSC Napoli,in,39.0,Serie A,2013,2013/2014,Italy
SSC Napoli,in,12.0,Serie A,2013,2013/2014,Italy
SSC Napoli,in,9.5,Serie A,2013,2013/2014,Italy
SSC Napoli,in,9.48,Serie A,2013,2013/2014,Italy
SSC Napoli,in,7.47,Serie A,2013,2013/2014,Italy
SSC Napoli,in,5.0,Serie A,2013,2013/2014,Italy
SSC Napoli,in,4.0,Serie A,2013,2013/2014,Italy
SSC Napoli,in,1.25,Serie A,2013,2013/2014,Italy
SSC Napoli,in,1.0,Serie A,2013,2013/2014,Italy
SSC Napoli,in,0.25,Serie A,2013,2013/2014,Italy
Catania SSD,in,3.72,Serie A,2013,2013/2014,Italy
Catania SSD,in,3.3,Serie A,2013,2013/2014,Italy
Catania SSD,in,0.5,Serie A,2013,2013/2014,Italy
Catania SSD,in,0.35,Serie A,2013,2013/2014,Italy
Catania SSD,in,0.0,Serie A,2013,2013/2014,Italy
Catania SSD,in,0.0,Serie A,2013,2013/2014,Italy
Catania SSD,in,0.0,Serie A,2013,2013/2014,Italy
Cagliari Calcio,in,1.0,Serie A,2013,2013/2014,Italy
Cagliari Calcio,in,0.5,Serie A,2013,2013/2014,Italy
AS Livorno,in,1.0,Serie A,2013,2013/2014,Italy
AS Livorno,in,0.92,Serie A,2013,2013/2014,Italy
AS Livorno,in,0.75,Serie A,2013,2013/2014,Italy
AS Livorno,in,0.5,Serie A,2013,2013/2014,Italy
AS Livorno,in,0.4,Serie A,2013,2013/2014,Italy
AS Livorno,in,0.25,Serie A,2013,2013/2014,Italy
AS Livorno,in,0.0,Serie A,2013,2013/2014,Italy
AS Livorno,in,0.0,Serie A,2013,2013/2014,Italy
AS Livorno,in,0.0,Serie A,2013,2013/2014,Italy
UC Sampdoria,in,11.5,Serie A,2013,2013/2014,Italy
UC Sampdoria,in,3.4,Serie A,2013,2013/2014,Italy
UC Sampdoria,in,2.3,Serie A,2013,2013/2014,Italy
UC Sampdoria,in,1.0,Serie A,2013,2013/2014,Italy
UC Sampdoria,in,0.5,Serie A,2013,2013/2014,Italy
UC Sampdoria,in,0.0,Serie A,2013,2013/2014,Italy
UC Sampdoria,in,0.0,Serie A,2013,2013/2014,Italy
Bologna FC 1909,in,2.0,Serie A,2013,2013/2014,Italy
Bologna FC 1909,in,1.4,Serie A,2013,2013/2014,Italy
Bologna FC 1909,in,1.25,Serie A,2013,2013/2014,Italy
Bologna FC 1909,in,1.25,Serie A,2013,2013/2014,Italy
Bologna FC 1909,in,0.5,Serie A,2013,2013/2014,Italy
Bologna FC 1909,in,0.0,Serie A,2013,2013/2014,Italy
Bologna FC 1909,in,0.0,Serie A,2013,2013/2014,Italy
Bologna FC 1909,in,0.0,Serie A,2013,2013/2014,Italy
Bologna FC 1909,in,0.0,Serie A,2013,2013/2014,Italy
Chievo Verona,in,1.5,Serie A,2013,2013/2014,Italy
Chievo Verona,in,0.8,Serie A,2013,2013/2014,Italy
Chievo Verona,in,0.5,Serie A,2013,2013/2014,Italy
Chievo Verona,in,0.5,Serie A,2013,2013/2014,Italy
Chievo Verona,in,0.5,Serie A,2013,2013/2014,Italy
Chievo Verona,in,0.1,Serie A,2013,2013/2014,Italy
Chievo Verona,in,0.0,Serie A,2013,2013/2014,Italy
Chievo Verona,in,0.0,Serie A,2013,2013/2014,Italy
Atalanta BC,in,4.2,Serie A,2013,2013/2014,Italy
Atalanta BC,in,1.6,Serie A,2013,2013/2014,Italy
